Rules_ID	Struts Jars
IC_STJR_130	struts2-oval-plugin-2.3.20.jar
IC_STJR_131	oval-1.31.jar
IC_STJR_132	struts2-json-plugin-2.3.20.jar
IC_STJR_133	struts2-embeddedjsp-plugin-2.3.20.jar
IC_STJR_134	juli-6.0.18.jar
IC_STJR_135	struts2-gxp-plugin-2.3.20.jar
IC_STJR_136	google-gxp-0.2.4-beta.jar
IC_STJR_137	google-collections-1.0.jar
IC_STJR_138	struts2-osgi-plugin-2.3.20.jar
IC_STJR_139	org.apache.felix.main-4.0.3.jar
IC_STJR_140	org.apache.felix.framework-4.0.3.jar
IC_STJR_141	org.apache.felix.shell-1.4.3.jar
IC_STJR_142	org.osgi.core-4.1.0.jar
IC_STJR_143	org.osgi.compendium-4.0.0.jar
IC_STJR_144	org.apache.felix.shell.tui-1.4.1.jar
IC_STJR_145	velocity-1.6.4.jar
IC_STJR_146	struts2-osgi-admin-bundle-2.3.20.jar
IC_STJR_147	struts2-osgi-demo-bundle-2.3.20.jar
IC_STJR_148	struts2-cdi-plugin-2.3.20.1.jar
IC_STJR_149	struts2-core-2.3.20.1.jar
IC_STJR_150	xwork-core-2.3.20.1.jar
IC_STJR_151	struts2-codebehind-plugin-2.3.20.1.jar
IC_STJR_152	struts2-convention-plugin-2.3.20.1.jar
IC_STJR_153	struts2-javatemplates-plugin-2.3.20.1.jar
IC_STJR_154	struts2-config-browser-plugin-2.3.20.1.jar
IC_STJR_155	struts2-dojo-plugin-2.3.20.1.jar
IC_STJR_156	struts2-dwr-plugin-2.3.20.1.jar
IC_STJR_157	struts2-jasperreports-plugin-2.3.20.1.jar
IC_STJR_158	struts2-jfreechart-plugin-2.3.20.1.jar
IC_STJR_159	struts2-jsf-plugin-2.3.20.1.jar
IC_STJR_160	struts2-junit-plugin-2.3.20.1.jar
IC_STJR_161	struts2-pell-multipart-plugin-2.3.20.1.jar
IC_STJR_162	struts2-plexus-plugin-2.3.20.1.jar
IC_STJR_163	struts2-portlet-plugin-2.3.20.1.jar
IC_STJR_164	struts2-rest-plugin-2.3.20.1.jar
IC_STJR_165	struts2-sitegraph-plugin-2.3.20.1.jar
IC_STJR_166	struts2-sitemesh-plugin-2.3.20.1.jar
IC_STJR_167	struts2-spring-plugin-2.3.20.1.jar
IC_STJR_168	struts2-struts1-plugin-2.3.20.1.jar
IC_STJR_169	struts2-testng-plugin-2.3.20.1.jar
IC_STJR_170	struts2-tiles-plugin-2.3.20.1.jar
IC_STJR_171	struts2-tiles3-plugin-2.3.20.1.jar
IC_STJR_172	struts2-oval-plugin-2.3.20.1.jar
IC_STJR_173	struts2-json-plugin-2.3.20.1.jar
IC_STJR_174	struts2-embeddedjsp-plugin-2.3.20.1.jar
IC_STJR_175	struts2-gxp-plugin-2.3.20.1.jar
IC_STJR_176	struts2-osgi-plugin-2.3.20.1.jar
IC_STJR_177	struts2-osgi-admin-bundle-2.3.20.1.jar
IC_STJR_178	struts2-osgi-demo-bundle-2.3.20.1.jar
IC_STJR_179	struts2-cdi-plugin-2.3.20.3.jar
IC_STJR_180	struts2-core-2.3.20.3.jar
IC_STJR_181	xwork-core-2.3.20.3.jar
IC_STJR_182	ognl-3.0.6.1.jar
IC_STJR_183	struts2-codebehind-plugin-2.3.20.3.jar
IC_STJR_184	struts2-convention-plugin-2.3.20.3.jar
IC_STJR_185	struts2-javatemplates-plugin-2.3.20.3.jar
IC_STJR_186	struts2-config-browser-plugin-2.3.20.3.jar
IC_STJR_187	struts2-dojo-plugin-2.3.20.3.jar
IC_STJR_188	struts2-dwr-plugin-2.3.20.3.jar
IC_STJR_189	struts2-jasperreports-plugin-2.3.20.3.jar
IC_STJR_190	struts2-jfreechart-plugin-2.3.20.3.jar
IC_STJR_191	struts2-jsf-plugin-2.3.20.3.jar
IC_STJR_192	struts2-junit-plugin-2.3.20.3.jar
IC_STJR_193	struts2-pell-multipart-plugin-2.3.20.3.jar
IC_STJR_194	struts2-plexus-plugin-2.3.20.3.jar
